Array riordinato: 
Elemento 162: -1.23735
Elemento 163: -1.22289
Elemento 164: -1.22048
Elemento 165: -1.21566
Elemento 166: -1.20723
Elemento 167: -1.20723
Elemento 168: -1.1747
Elemento 169: -1.16265
Elemento 170: -1.15301
Elemento 171: -1.15181
Elemento 172: -1.14096
Elemento 173: -1.10482
Elemento 174: -1.1
Elemento 175: -1.04578
Elemento 176: -1.03855
Elemento 177: -1.00843
Elemento 178: -0.986747
Elemento 179: -0.945783
Elemento 180: -0.927711
Elemento 181: -0.922892
Elemento 182: -0.918072
Elemento 183: -0.915663
Elemento 184: -0.913253
Elemento 185: -0.908434
Elemento 186: -0.9
Elemento 187: -0.854217
Elemento 188: -0.836145
Elemento 189: -0.827711
Elemento 190: -0.814458
Elemento 191: -0.812048
Elemento 192: -0.793976
Elemento 193: -0.781928
Elemento 194: -0.756627
Elemento 195: -0.749398
Elemento 196: -0.721687
Elemento 197: -0.698795
Elemento 198: -0.698795
Elemento 199: -0.698795
Elemento 200: -0.684337
Elemento 201: -0.656627
Elemento 202: -0.655422
Elemento 203: -0.638554
Elemento 204: -0.622892
Elemento 205: -0.604819
Elemento 206: -0.601205
Elemento 207: -0.585542
Elemento 208: -0.583133
Elemento 209: -0.562651
Elemento 210: -0.554217
Elemento 211: -0.545783
Elemento 212: -0.531325
Elemento 213: -0.522892
Elemento 214: -0.486747
Elemento 215: -0.479518
Elemento 216: -0.479518
Elemento 217: -0.46506
Elemento 218: -0.407229
Elemento 219: -0.404819
Elemento 220: -0.396386
Elemento 221: -0.381928
Elemento 222: -0.33494
Elemento 223: -0.327711
Elemento 224: -0.319277
Elemento 225: -0.244578
Elemento 226: -0.240964
Elemento 227: -0.238554
Elemento 228: -0.228916
Elemento 229: -0.221687
Elemento 230: -0.187952
Elemento 231: -0.179518
Elemento 232: -0.177108
Elemento 233: -0.16506
Elemento 234: -0.133735
Elemento 235: -0.13253
Elemento 236: -0.127711
Elemento 237: -0.0759036
Elemento 238: 0.00240964
Elemento 239: 0.142169
Elemento 240: 0.184337
Elemento 241: 0.20241
Elemento 242: 0.209639
Elemento 243: 0.23012
Elemento 244: 0.3
Elemento 245: 0.362651
Elemento 246: 0.36506
Elemento 247: 0.375904
Elemento 248: 0.381928
Elemento 249: 0.385542
Elemento 250: 0.438554
Elemento 251: 0.445783
Elemento 252: 0.450602
Elemento 253: 0.483133
Elemento 254: 0.487952
Elemento 255: 0.489157
Elemento 256: 0.536145
Elemento 257: 0.574699
Elemento 258: 0.579518
Elemento 259: 0.609639
Elemento 260: 0.645783
Elemento 261: 0.659036
Elemento 262: 0.70241
Elemento 263: 0.736145
Elemento 264: 0.763855
Elemento 265: 0.76506
Elemento 266: 0.773494
Elemento 267: 0.774699
Elemento 268: 0.775904
Elemento 269: 0.792771
Elemento 270: 0.814458
Elemento 271: 0.825301
Elemento 272: 0.857831
Elemento 273: 0.89759
Elemento 274: 0.914458
Elemento 275: 0.922892
Elemento 276: 0.926506
Elemento 277: 0.962651
Elemento 278: 0.96506
Elemento 279: 1.00964
Elemento 280: 1.02651
Elemento 281: 1.02771
Elemento 282: 1.08675
Elemento 283: 1.1506
Elemento 284: 1.15663
Elemento 285: 1.16747
Elemento 286: 1.17349
Elemento 287: 1.18434
Elemento 288: 1.19518
Elemento 289: 1.20482
Elemento 290: 1.22169
Elemento 291: 1.23494
Elemento 292: 1.24578
Elemento 293: 1.25783
Elemento 294: 1.26024
Elemento 295: 1.26265
Elemento 296: 1.27108
Elemento 297: 1.27952
Elemento 298: 1.30361
Elemento 299: 1.33855
Elemento 300: 1.33976
Elemento 301: 1.35181
Elemento 302: 1.36386
Elemento 303: 1.36747
Elemento 304: 1.39398
Elemento 305: 1.39518
Elemento 306: 1.45301
Elemento 307: 1.45422
Elemento 308: 1.48072
Elemento 309: 1.48313
Elemento 310: 1.49157
Elemento 311: 1.51084
Elemento 312: 1.55181
Elemento 313: 1.62651
Elemento 314: 1.64819
Elemento 315: 1.66867
Elemento 316: 1.67108
Elemento 317: 1.68675
Elemento 318: 1.75301
Elemento 319: 1.76386
Elemento 320: 1.83133
Elemento 321: 1.88916
Elemento 322: 1.91687
Elemento 323: 1.99398
Elemento 324: 1.9988
Elemento 325: 2.08313
Elemento 326: 2.08434
Elemento 327: 2.09036
Elemento 328: 2.1012
Elemento 329: 2.10602
Elemento 330: 2.11325
Elemento 331: 2.12892
Elemento 332: 2.14458
Elemento 333: 2.1988
Elemento 334: 2.26145
Elemento 335: 2.26988
Elemento 336: 2.29157
Elemento 337: 2.34458
Elemento 338: 2.37952
Elemento 339: 2.40843
Elemento 340: 2.42169
Elemento 341: 2.46386
Elemento 342: 2.51928
Elemento 343: 2.53253
Elemento 344: 2.56265
Elemento 345: 2.57831
Elemento 346: 2.58554
Elemento 347: 2.61687
Elemento 348: 2.70964
Elemento 349: 2.72771
Elemento 350: 2.80361
Elemento 351: 2.84217
Elemento 352: 3
Elemento 353: 3.03373
Elemento 354: 3.06627
Elemento 355: 3.13494
Elemento 356: 3.20964
Elemento 357: 3.23012
Elemento 358: 3.25301
Elemento 359: 3.2988
Elemento 360: 3.3988
Elemento 361: 3.42169
Elemento 362: 3.5494
Elemento 363: 3.67831
Elemento 364: 3.99157
Elemento 365: 4.55542
